run,global_step,val_bpb,val_ppl,total_tokens,total_tokens_billions,total_flops,total_flops_e15,flops_per_token,tokens_per_step
PatchLen Sin v2 fp32 eval,1297,1.5450476185977562,2.9181370049540734,85000192,0.085000192,5.391221905791386e+16,53.91221905791386,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,2594,1.3934974238982538,2.6271479037097123,170000384,0.170000384,1.0782443811582771e+17,107.82443811582772,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,3891,1.3400384284281388,2.531580619632989,255000576,0.255000576,1.6173665717374157e+17,161.73665717374158,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,5188,1.3066747114015587,2.473707140629832,340000768,0.340000768,2.1564887623165542e+17,215.64887623165544,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,6485,1.3011071820164006,2.4641792111416945,425000960,0.42500096,2.6956109528956928e+17,269.56109528956927,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,7782,1.2798563024578418,2.4281479046030303,510001152,0.510001152,3.2347331434748314e+17,323.47331434748315,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,9079,1.2870516285242328,2.4402883475458017,595001344,0.595001344,3.77385533405397e+17,377.385533405397,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,10376,1.2685610322936551,2.409211469542197,680001536,0.680001536,4.3129775246331085e+17,431.29775246331087,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,11673,1.2731994578931387,2.4169698186447333,765001728,0.765001728,4.852099715212247e+17,485.2099715212247,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,12970,1.2640168990488845,2.4016349864245297,850001920,0.85000192,5.3912219057913856e+17,539.1221905791385,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,14267,1.2685099114061453,2.409126102334995,935002112,0.935002112,5.930344096370524e+17,593.0344096370524,634259968.0,65536.0
PatchLen Sin v2 fp32 eval,15564,1.2644670808357832,2.4023845149127285,1020002304,1.020002304,6.469466286949663e+17,646.9466286949663,634259968.0,65536.0
Baseline Ngram,1297,1.5196656087540452,2.867245842029704,85000192,0.085000192,5.391221905791386e+16,53.91221905791386,634259968.0,65536.0
Baseline Ngram,2594,1.362236878887238,2.5708347506137597,170000384,0.170000384,1.0782443811582771e+17,107.82443811582772,634259968.0,65536.0
Baseline Ngram,3891,1.3072321492132084,2.474663132223216,255000576,0.255000576,1.6173665717374157e+17,161.73665717374158,634259968.0,65536.0
Baseline Ngram,5188,1.2798196128256576,2.428086154393747,340000768,0.340000768,2.1564887623165542e+17,215.64887623165544,634259968.0,65536.0
Baseline Ngram,6485,1.2616725538510967,2.3977355556758013,425000960,0.42500096,2.6956109528956928e+17,269.56109528956927,634259968.0,65536.0
Baseline Ngram,7782,1.2473195697406902,2.3739993989876176,510001152,0.510001152,3.2347331434748314e+17,323.47331434748315,634259968.0,65536.0
Baseline Ngram,9079,1.2389827069182788,2.3603203941664064,595001344,0.595001344,3.77385533405397e+17,377.385533405397,634259968.0,65536.0
Baseline Ngram,10376,1.2301534692319573,2.345919436512622,680001536,0.680001536,4.3129775246331085e+17,431.29775246331087,634259968.0,65536.0
Baseline Ngram,11673,1.2216592078874764,2.3321477766754124,765001728,0.765001728,4.852099715212247e+17,485.2099715212247,634259968.0,65536.0
Baseline Ngram,12970,1.219820445821185,2.3291772713801713,850001920,0.85000192,5.3912219057913856e+17,539.1221905791385,634259968.0,65536.0
Baseline Ngram,14267,1.2142317587481342,2.3201719982864146,935002112,0.935002112,5.930344096370524e+17,593.0344096370524,634259968.0,65536.0
Baseline Ngram,15564,1.2166419006863054,2.3240512778179556,1020002304,1.020002304,6.469466286949663e+17,646.9466286949663,634259968.0,65536.0
